#,CAS Number,SMILES
74,1972-08-3,CCCCCc1cc(O)c2C3C=C(C)CCC3C(C)(C)Oc2c1
75,4345-03-3,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(=O)CCC(O)=O)c(C)c(C)c2O1
76,218-01-9,c1ccc2c(c1)ccc1c3ccccc3ccc21
77,75-99-0,CC(Cl)(Cl)C(O)=O
78,73-31-4,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
79,Invalid CAS number: 0-15-6,C1O[C@H]1COc1cccc(OC[C@H]2CO2)c1
80,944-22-9,CCOP(=S)(CC)Sc1ccccc1
81,151-10-0,COc1cccc(OC)c1
82,99-71-8,CCC(C)c1ccc(O)cc1
83,67508-85-4,CCC1(O)CC(OC2CC(N)C(O)C(C)O2)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3cc2C1C(=O)OC
84,112-44-7,CCCCCCCCCCC=O
85,107-46-0,C[Si](C)(C)O[Si](C)(C)C
86,Invalid CAS number: 6-01-6,COc1ccc2nc3cc(Cl)ccc3c(NCCCNCCCl)c2n1
87,279242-17-0,CC(C)(C)c1ccc(cc1)-c1ccc(cc1)N=O
88,56438-59-6,COc1ccc(CC[C@@H]2CO2)cc1
89,43192-03-6,Cc1ccc(NO)cc1[N+]([O-])=O
90,13177-28-1,[O-][N+](=O)c1ccc2cccc3c4ccccc4c1c23
91,93-27-6,COc1cc(ccc1NC(C)=O)[N+]([O-])=O
92,13608-87-2,CC(=O)c1ccc(Cl)c(Cl)c1Cl
93,103139-94-2,Cc1cnc2c(C)cc3c(nc(N)n3C)c2n1
94,16354-52-2,CCc1c2ccccc2c(CC)c2c1ccc1ccccc12
95,139347-89-0,Cc1c(C)c2c3C4OC4C(O)C(O)c3ccc2c2ccccc12
96,2598-99-4,CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC
97,22338-69-8,CC12CCCC(C)(C1CCC13CC(CCC21)C(=C)C3O)C(O)=O
98,2880-49-1,CC1(C)OC1COc1c2OC(=O)C=Cc2cc2ccoc21
99,2409-36-1,OCn1c2ccccc2c2ccccc21
100,16069-36-6,C1CC[C@H]2OCCOCCO[C@H]3CCCC[C@@H]3OCCOCCO[C@@H]2C1
101,14861-17-7,Nc1ccc(Oc2ccc(Cl)cc2Cl)cc1
102,98025-31-1,NC(CSC(Cl)=C(Cl)Cl)C(O)=O
103,1066-33-7,[NH4+].OC([O-])=O
104,20562-03-2,C[C@H]1CC[C@@H]2[C@H](C)[C@H]3[C@@H](CC4[C@@H]5CC=C6CC(CC[C@]6(C)[C@H]5CC[C@]43C)O[C@@H]3O[C@@H](CO)C(O[C@@H]4O[C@H](C)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@@H]3O[C@@H]3O[C@@H](C)[C@@H](O)[C@H](O)[C@@H]3O)N2C1
105,7491-76-1,CCC1(C)CCC(C)(C(C)C)c2cc3N(C)C(C(C)C)C(=O)NC(CO)Cc4c[nH]c(c21)c43
106,2835-97-4,Cc1cccc(O)c1N
107,58336-35-9,O=C1Oc2c(C=C1)cc1CCCN3CCCc2c31
108,87633-43-0,COC[C@@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34
109,13345-62-5,Cc1c2ccccc2c(CCl)c2ccc3ccccc3c12
110,117-08-8,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl
111,60877-90-9,Oc1ccccc1\C=N\C1SNc2ccccc12
112,18409-46-6,O=C\C=C\C=C\C=O
113,185-70-6,C1CCC2(CC1)CO2
114,159092-73-6,[O-][N+](=O)c1ccc2c(cc3ccccc3c2c1)[N+]([O-])=O
115,15589-00-1,COc1cc(CC(C)N)c(OC)cc1C
116,109-76-2,NCCCN
117,108-45-2,Nc1cccc(N)c1
118,332397-22-5,N\C(=N/OS(O)(=O)=O)c1ccccc1
119,4180-23-8,COc1ccc(C=CC)cc1
120,125847-46-3,OC1C=Cc2c(ccc3c4ccccc4sc23)C1O
121,1705-85-7,Cc1cc2c3ccccc3ccc2c2ccccc12
122,90-19-7,COc1cc(O)c2C(=O)C(O)=C(Oc2c1)c1ccc(O)c(O)c1
123,598-36-7,C[C@H](S)CN
124,70222-95-6,COc1cccc2C(=O)c3c(O)c4C[C@@](O)(CC(O[C@@H]5C[C@H]([C@@H](O)[C@H](C)O5)N(C)C)c4c(O)c3C(=O)c12)C(=O)CO
125,880-93-3,Cc1ccc(c2ccccc12)[N+]([O-])=O
126,60-34-4,CNN
127,288-32-4,c1c[nH]cn1
128,480-19-3,COc1cc(ccc1O)C1Oc2cc(O)cc(O)c2C(=O)C=1O
129,645-00-1,[O-][N+](=O)c1cccc(I)c1
130,514-10-3,CC(C)C1CCC2C(=CCC3C2(C)CCCC3(C)C(O)=O)C=1
131,16354-55-5,CCc1c2ccccc2c(C)c2ccc3ccccc3c12
132,371-47-1,[Na+].[Na+].[O-]C(=O)C=CC([O-])=O
133,104-67-6,CCCCCCCC1CCC(=O)O1
134,93-68-5,CC(=O)CC(=O)Nc1ccccc1C
135,103-70-8,O=CNc1ccccc1
136,2379-74-0,Cc1cc(Cl)cc2SC(C(=O)c12)=C1Sc2cc(Cl)cc(C)c2C1=O
137,142044-41-5,OC1CC=Cc2cccnc12
138,67-45-8,[O-][N+](=O)c1ccc(\C=N\N2CCOC2=O)o1
139,2498-77-3,Cc1cccc2ccc3cc4ccccc4cc3c12
140,52567-96-1,CC(C)=C(C)CCC(C)(O)C#C
141,99520-59-9,Oc1cccc2c3ccc4ccc5cccc6cc(c12)c3c4c56
142,35250-53-4,SCCc1cnccn1
143,134-03-2,[Na+].OC[C@@H](O)[C@H]1OC(=O)C(O)=C1[O-]
144,110-18-9,CN(C)CCN(C)C
145,2893-78-9,[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl
146,163275-68-1,Fc1ccc(F)c2c1ccc1ncccc12
147,814-78-8,CC(=C)C(C)=O
148,13863-31-5,[Na+].[Na+].CN(CCO)c1nc(Nc2ccccc2)nc(Nc2ccc(C=Cc3ccc(Nc4nc(Nc5ccccc5)nc(n4)N(C)CCO)cc3S([O-])(=O)=O)c(c2)S([O-])(=O)=O)n1
149,591-12-8,CC1OC(=O)CC=1
150,71382-46-2,Cc1c2ccccc2c(C)c2c3ccccc3c3Nc3c12
151,92072-10-1,[O-][N+](=O)c1ccc2c3cccc4cccc(c43)c3c(ccc1c23)[N+]([O-])=O
152,140460-98-6,O[C@@H]1[C@H]2O[C@H]2c2c(ccc3cc4c(ccc5ccccc54)nc32)[C@@H]1O
153,98033-26-2,Cc1nc2ccc3ccc4ccc(O)cc4c3c2[nH]1
154,36719-42-3,CC(C)CN(CC(C)C)\N=N\c1ccccc1
155,131-91-9,Oc1ccc2ccccc2c1N=O
156,2786-76-7,CCOc1ccccc1NC(=O)c1cc2ccccc2c(N=Nc2ccc(cc2)C(N)=O)c1O
157,Invalid CAS number: 0-05-1,O[C@@H]1OC(=O)C(Cl)=C1C(Cl)Cl
158,148193-33-3,COc1nsc2cc(N)ccc12
159,54292-63-6,CCN(CC)c1ccc(cc1)N=Nc1cccnc1
160,1718-34-9,[Na+].Oc1ccc(cc1C([O-])=O)N=Nc1ccc(cc1)[N+]([O-])=O
161,84-75-3,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
162,60516-11-2,CC(=O)Nc1ccc(Nc2ccc(cc2)[N+]([O-])=O)cc1
163,172374-57-1,CC(=O)Nc1ccc(Oc2ccc(NO)cc2)cc1
164,20941-65-5,[Te+4].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S
165,3695-86-1,COC(=O)/C(=C/c1ccco1)C#N
166,53473-85-1,Nc1ccc2sncc2c1
167,62450-06-0,Cc1nc(N)c(C)c2[nH]c3ccccc3c12
168,13425-98-4,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O
169,2835-39-4,CC(C)CC(=O)OCC=C
170,75-95-6,BrC(Br)C(Br)(Br)Br
171,622-79-7,[N-]=[N+]=NCc1ccccc1
172,107-01-7,C\C=C\C
173,4560-58-1,C[C@@H](CCC(O)=O)[C@H]1CC[C@@H]2[C@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC(=O)[C@]12C
174,108-37-2,Clc1cccc(Br)c1
175,24085-03-8,CC(C)(C)N(CC(O)c1ccc(O)c(CO)c1)Cc1ccccc1
176,62641-66-1,O=NN1CCCNC1=O
177,123-73-9,CC=CC=O
178,683-18-1,CCCC[Sn](Cl)(Cl)CCCC
179,71-33-0,Oc1ncnc(O)n1
180,36507-30-9,NC(=O)N1c2ccccc2C2OC2c2ccccc12
181,63019-39-6,Oc1ccc2ccc3c4ccccc4ccc3c2c1
182,Invalid CAS number: 0-19-8,Oc1cccc2OC(=O)C(=Cc12)[C@@H]1CCc2ccccc2C1
183,126-30-7,CC(C)(CO)CO
184,19010-66-3,[Pb+2].CN(C)C([S-])=S.CN(C)C([S-])=S
185,2872-52-8,CCN(CCO)c1ccc(cc1)N=Nc1ccc(cc1)[N+]([O-])=O
186,43218-55-9,CCN(CC)CCn1nc2ccc(C)c3-c4ccc(Cl)cc4Sc1c23
187,105453-63-2,OC1C=Cc2ccc3cc4c(ccc5ccccc54)cc3c2C1O
188,5632-47-3,O=NN1CCNCC1
189,131-11-3,COC(=O)c1ccccc1C(=O)OC
190,86439-49-8,Nc1cc2[nH]c3ccccc3c2cc1[N+]([O-])=O
191,4637-56-3,ONc1cc[n+]([O-])c2ccccc12
192,24684-42-2,Cc1cc2CCC(=O)c2c2ccc3ccccc3c12
193,62-73-7,COP(=O)(OC)OC=C(Cl)Cl
194,367-51-1,[Na+].[O-]C(=O)CS
195,41044-12-6,CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c1nc2ccccc2n1C
196,100-02-7,Oc1ccc(cc1)[N+]([O-])=O
197,1563-66-2,CNC(=O)Oc1cccc2CC(C)(C)Oc21
198,75607-61-3,N[C@H](CCC(=O)N(CC(O)=O)C(=O)[C@H](N)CSCCCl)C(O)=O
199,107-04-0,ClCCBr
200,81-48-1,Cc1ccc(Nc2ccc(O)c3C(=O)c4ccccc4C(=O)c23)cc1
201,102-36-3,Clc1ccc(cc1Cl)N=C=O
202,87406-72-2,C=CC(=O)N(C[C@@H]1CO1)C[C@@H]1CO1
203,51-17-2,c1ccc2[nH]cnc2c1
204,67976-98-1,O1C2C1c1nc3ccc4ccccc4c3cc1-c1ccccc21
205,530-62-1,O=C(n1ccnc1)n1ccnc1
206,95-65-8,Cc1ccc(O)cc1C
207,102-96-5,[O-][N+](=O)C=Cc1ccccc1
208,824-78-2,[Na+].[O-]c1ccc(cc1)[N+]([O-])=O
209,25168-15-4,CC(C)CCCCCOC(=O)Cc1cc(Cl)c(Cl)cc1Cl
210,Invalid CAS number: 0-17-9,O1[C@@H]2C=Cc3c(ccc4c5C=Cc6cccc(cc34)c65)[C@@H]12
211,94500-44-4,ClCc1cc2c3ccccc3cc3ccc4cccc1c4c32
212,125239-64-7,COc1cc2nc3cc(N)c(OC)cc3nc2cc1N
213,54292-59-0,OCCN(CCO)c1ccc(cc1)N=Nc1cccnc1
214,134-31-6,[O-]S([O-])(=O)=O.Oc1cccc2ccc[nH+]c12.Oc1cccc2ccc[nH+]c12
215,139953-97-2,CC\C=C\C=C\C=C\C=C\C=C\OC[C@@H](C)O
216,55090-44-3,CCCCCCCCCCCCN(C)N=O
